model,rdbms,n_queries,n_executable_correct,n_executable_incorrect,n_non_executable,dataset,pct_executable_correct,pct_executable_incorrect,pct_non_executable,pct_sum
gpt2xl,mariadb,1498,0,1,1497,Overall,0.0,0.066756,99.933244,100.0
qwen,mariadb,3449,45,385,3019,Overall,1.304726,11.162656,87.532618,100.0
gpt2xl,mysql,1489,0,4,1485,Overall,0.0,0.268637,99.731363,100.0
qwen,mysql,2859,74,922,1863,Overall,2.588318,32.249038,65.162644,100.0
gpt2xl,mariadb,825,0,0,825,advising,0.0,0.0,100.0,100.0
qwen,mariadb,2079,0,23,2056,advising,0.0,1.106301,98.893699,100.0
gpt2xl,mysql,825,0,0,825,advising,0.0,0.0,100.0,100.0
qwen,mysql,1058,14,396,648,advising,1.323251,37.429112,61.247637,100.0
gpt2xl,mariadb,422,0,0,422,atis,0.0,0.0,100.0,100.0
qwen,mariadb,1112,0,281,831,atis,0.0,25.269784,74.730216,100.0
gpt2xl,mysql,422,0,0,422,atis,0.0,0.0,100.0,100.0
qwen,mysql,1550,14,436,1100,atis,0.903226,28.129032,70.967742,100.0
gpt2xl,mariadb,127,0,1,126,imdb,0.0,0.787402,99.212598,100.0
qwen,mariadb,130,27,32,71,imdb,20.769231,24.615385,54.615385,100.0
gpt2xl,mysql,118,0,4,114,imdb,0.0,3.389831,96.610169,100.0
qwen,mysql,123,26,40,57,imdb,21.138211,32.520325,46.341463,100.0
gpt2xl,mariadb,124,0,0,124,yelp,0.0,0.0,100.0,100.0
qwen,mariadb,128,18,49,61,yelp,14.0625,38.28125,47.65625,100.0
gpt2xl,mysql,124,0,0,124,yelp,0.0,0.0,100.0,100.0
qwen,mysql,128,20,50,58,yelp,15.625,39.0625,45.3125,100.0
