model,dataset,rdbms,prompt_tokens_bin,n_queries,prompt_tokens_mean,execution_accuracy_pct
gpt2xl,advising,mariadb,67–76,0,,
qwen,advising,mariadb,67–76,1179,73.59,0.0
gpt2xl,advising,mariadb,76–137,1,135.0,0.0
qwen,advising,mariadb,76–137,900,80.33,0.0
gpt2xl,advising,mariadb,137–220,87,176.05,0.0
qwen,advising,mariadb,137–220,0,,
gpt2xl,advising,mariadb,220–309,210,275.5,0.0
qwen,advising,mariadb,220–309,0,,
gpt2xl,advising,mariadb,309–435,288,360.99,0.0
qwen,advising,mariadb,309–435,0,,
gpt2xl,advising,mariadb,435–461,234,447.81,0.0
qwen,advising,mariadb,435–461,0,,
gpt2xl,advising,mariadb,461–488,4,478.5,0.0
qwen,advising,mariadb,461–488,0,,
gpt2xl,advising,mariadb,488–662,1,489.0,0.0
qwen,advising,mariadb,488–662,0,,
gpt2xl,advising,mysql,67–76,0,,
qwen,advising,mysql,67–76,0,,
gpt2xl,advising,mysql,76–137,1,135.0,0.0
qwen,advising,mysql,76–137,16,133.5,6.25
gpt2xl,advising,mysql,137–220,87,176.05,0.0
qwen,advising,mysql,137–220,201,188.89,0.497512
gpt2xl,advising,mysql,220–309,210,275.5,0.0
qwen,advising,mysql,220–309,447,259.41,0.671141
gpt2xl,advising,mysql,309–435,288,360.99,0.0
qwen,advising,mysql,309–435,394,348.14,2.284264
gpt2xl,advising,mysql,435–461,234,447.81,0.0
qwen,advising,mysql,435–461,0,,
gpt2xl,advising,mysql,461–488,4,478.5,0.0
qwen,advising,mysql,461–488,0,,
gpt2xl,advising,mysql,488–662,1,489.0,0.0
qwen,advising,mysql,488–662,0,,
gpt2xl,atis,mariadb,67–76,0,,
qwen,atis,mariadb,67–76,0,,
gpt2xl,atis,mariadb,76–137,0,,
qwen,atis,mariadb,76–137,0,,
gpt2xl,atis,mariadb,137–220,10,200.7,0.0
qwen,atis,mariadb,137–220,0,,
