model,dataset,rdbms,row_id,difficulty,query_split,question_split,schema_num_tables,schema_num_columns,prompt_tokens,gen_time_s,pred_success,gold_success,pred_vs_gold_match,pred_execution_time_s,gold_execution_time_s,num_table_repairs,num_column_repairs,has_repairs,valid_prediction,successful_execution
gpt2xl,advising,mariadb,0,1,test,train,4,31,260,66.352106,False,True,False,0.06767416000366211,0.34771132469177246,0,0,False,False,False
gpt2xl,advising,mariadb,1,1,test,train,4,46,329,40.089611,False,True,False,0.045117855072021484,0.03806591033935547,0,0,False,False,False
gpt2xl,advising,mariadb,3,1,test,train,4,31,263,34.774655,False,True,False,0.03126072883605957,0.028856754302978516,0,0,False,False,False
gpt2xl,advising,mariadb,4,1,test,exclude,4,45,339,61.261889,False,True,False,0.05192852020263672,0.20103764533996582,0,0,False,False,False
gpt2xl,advising,mariadb,6,1,test,exclude,4,59,447,55.499369,False,True,False,0.07135725021362305,0.2324354648590088,0,0,False,False,False
gpt2xl,advising,mariadb,7,1,test,train,4,33,272,168.828452,False,True,False,0.059040069580078125,0.2013719081878662,0,0,False,False,False
gpt2xl,advising,mariadb,9,1,test,exclude,4,38,300,31.764184,False,True,False,0.032273292541503906,0.0834500789642334,0,0,False,False,False
gpt2xl,advising,mariadb,10,1,test,exclude,4,33,273,29.409663,False,True,False,0.06609940528869629,0.019011974334716797,0,0,False,False,False
gpt2xl,advising,mariadb,12,1,test,train,4,31,260,36.978025,False,True,False,0.05674099922180176,0.020839929580688477,0,0,False,False,False
gpt2xl,advising,mariadb,13,1,test,dev,4,31,271,39.223598,False,True,False,0.028626441955566406,0.022986650466918945,0,0,False,False,False
gpt2xl,advising,mariadb,14,1,test,train,4,48,335,38.707545,False,True,False,0.03515887260437012,0.035254716873168945,0,0,False,False,False
gpt2xl,advising,mariadb,15,1,test,train,4,33,272,33.449157,False,True,False,0.03878664970397949,0.019555091857910156,0,0,False,False,False
gpt2xl,advising,mariadb,16,1,test,exclude,4,59,444,50.046345,False,True,False,0.07382512092590332,0.19707942008972168,0,0,False,False,False
gpt2xl,advising,mariadb,17,1,test,exclude,4,31,268,39.43634,False,True,False,0.05118870735168457,0.018832683563232422,0,0,False,False,False
gpt2xl,advising,mariadb,18,1,test,exclude,4,45,339,46.131828,False,True,False,0.030707359313964844,0.057861328125,0,0,False,False,False
gpt2xl,advising,mariadb,19,1,test,train,4,59,443,49.80844,False,True,False,0.04468512535095215,0.04037165641784668,0,0,False,False,False
gpt2xl,advising,mariadb,20,1,test,train,4,59,444,50.422858,False,True,False,0.04750823974609375,0.07137656211853027,0,0,False,False,False
gpt2xl,advising,mariadb,21,1,test,train,4,45,339,45.276825,False,True,False,0.042128562927246094,0.01898980140686035,0,0,False,False,False
gpt2xl,advising,mariadb,22,1,test,exclude,4,59,444,48.505087,False,True,False,0.04595541954040527,0.09046173095703125,0,0,False,False,False
gpt2xl,advising,mariadb,23,1,test,dev,4,33,272,33.845044,False,True,False,0.05362272262573242,0.019714832305908203,0,0,False,False,False
gpt2xl,advising,mariadb,27,1,test,exclude,4,47,362,41.427311,False,True,False,0.0558469295501709,0.04005765914916992,0,0,False,False,False
gpt2xl,advising,mariadb,28,1,test,exclude,4,31,260,31.985426,False,True,False,0.038448333740234375,0.019037723541259766,0,0,False,False,False
gpt2xl,advising,mariadb,29,1,test,train,4,45,339,38.888421,False,True,False,0.049967288970947266,0.019177675247192383,0,0,False,False,False
gpt2xl,advising,mariadb,30,1,test,exclude,4,31,262,38.023876,False,True,False,0.05349540710449219,0.020244836807250977,0,0,False,False,False
gpt2xl,advising,mariadb,31,1,test,train,4,31,261,38.002522,False,True,False,0.026651620864868164,0.01867365837097168,0,0,False,False,False
gpt2xl,advising,mariadb,32,1,test,exclude,4,59,446,54.823822,False,True,False,0.05499601364135742,0.08770346641540527,0,0,False,False,False
gpt2xl,advising,mariadb,33,1,test,train,4,29,261,39.054464,False,True,False,0.03244805335998535,0.019837379455566406,0,0,False,False,False
gpt2xl,advising,mariadb,35,1,test,exclude,4,31,264,38.471005,False,True,False,0.04106783866882324,0.036777496337890625,0,0,False,False,False
gpt2xl,advising,mariadb,37,1,test,exclude,4,25,184,162.338931,False,True,False,0.08738994598388672,0.018166303634643555,0,0,False,False,False
gpt2xl,advising,mariadb,39,1,test,exclude,4,25,184,24.98993,False,True,False,0.028713703155517578,0.020139455795288086,0,0,False,False,False
gpt2xl,advising,mariadb,40,1,test,exclude,4,25,185,25.330029,False,True,False,0.0500636100769043,0.01872849464416504,0,0,False,False,False
gpt2xl,advising,mariadb,41,1,test,train,4,25,183,25.15411,False,True,False,0.029111862182617188,0.018409252166748047,0,0,False,False,False
gpt2xl,advising,mariadb,42,1,test,exclude,4,25,185,160.105068,False,True,False,0.03729724884033203,0.018973588943481445,0,0,False,False,False
gpt2xl,advising,mariadb,43,1,test,exclude,4,25,183,160.126728,False,True,False,0.04862022399902344,0.01839280128479004,0,0,False,False,False
gpt2xl,advising,mariadb,45,1,test,exclude,4,33,277,33.294668,False,True,False,0.047363996505737305,0.018690824508666992,0,0,False,False,False
gpt2xl,advising,mariadb,47,1,test,exclude,4,46,368,41.948999,False,True,False,0.031143665313720703,0.019919872283935547,0,0,False,False,False
gpt2xl,advising,mariadb,48,1,test,exclude,4,30,266,33.630796,False,True,False,0.05019354820251465,0.01953864097595215,0,0,False,False,False
gpt2xl,advising,mariadb,50,1,test,train,4,59,443,48.82686,False,True,False,0.06649494171142578,0.1977097988128662,0,0,False,False,False
gpt2xl,advising,mariadb,51,1,test,train,4,59,444,49.370768,False,True,False,0.04977869987487793,0.12422490119934082,0,0,False,False,False
gpt2xl,advising,mariadb,52,1,test,exclude,4,31,264,39.058386,False,True,False,0.03480339050292969,0.0187532901763916,0,0,False,False,False
gpt2xl,advising,mariadb,53,1,test,exclude,4,46,327,43.8635,False,True,False,0.05098295211791992,0.01908111572265625,0,0,False,False,False
gpt2xl,advising,mariadb,54,1,test,exclude,4,31,259,54.808409,False,True,False,0.037416934967041016,0.018290281295776367,0,0,False,False,False
gpt2xl,advising,mariadb,55,1,test,exclude,4,33,275,33.195988,False,True,False,0.041342973709106445,0.021086692810058594,0,0,False,False,False
gpt2xl,advising,mariadb,56,1,test,exclude,4,31,263,38.606119,False,True,False,0.04561567306518555,0.018650293350219727,0,0,False,False,False
gpt2xl,advising,mariadb,57,1,test,exclude,4,31,264,38.49053,False,True,False,0.030127286911010742,0.01805853843688965,0,0,False,False,False
gpt2xl,advising,mariadb,58,3,train,test,4,61,451,59.807004,False,True,False,0.05480051040649414,0.11821269989013672,0,0,False,False,False
gpt2xl,advising,mariadb,59,3,train,exclude,4,45,371,48.75231,False,True,False,0.04650163650512695,0.012388467788696289,0,0,False,False,False
gpt2xl,advising,mariadb,60,3,train,exclude,4,45,376,48.27874,False,True,False,0.036084890365600586,0.01129007339477539,0,0,False,False,False
gpt2xl,advising,mariadb,61,3,train,exclude,4,43,321,43.705719,False,True,False,0.04332923889160156,0.01026463508605957,0,0,False,False,False
gpt2xl,advising,mariadb,62,3,train,train,4,50,352,53.482118,False,True,False,0.0385892391204834,0.010843992233276367,0,0,False,False,False
gpt2xl,advising,mariadb,63,3,train,exclude,4,61,450,58.624914,False,True,False,0.05134987831115723,0.015459299087524414,0,0,False,False,False
gpt2xl,advising,mariadb,64,3,train,exclude,4,61,449,52.820006,False,True,False,0.040677785873413086,0.01301264762878418,0,0,False,False,False
gpt2xl,advising,mariadb,66,3,train,train,4,43,320,43.742942,False,True,False,0.03088665008544922,0.012761592864990234,0,0,False,False,False
gpt2xl,advising,mariadb,67,3,train,exclude,4,61,451,55.949183,False,True,False,0.05270099639892578,0.011614084243774414,0,0,False,False,False
gpt2xl,advising,mariadb,68,3,train,exclude,4,61,449,56.515164,False,True,False,0.051718711853027344,0.012752771377563477,0,0,False,False,False
gpt2xl,advising,mariadb,69,3,train,exclude,4,43,317,42.794496,False,True,False,0.04808330535888672,0.012000560760498047,0,0,False,False,False
gpt2xl,advising,mariadb,70,3,train,exclude,4,59,446,49.82208,False,True,False,0.052333831787109375,0.011930704116821289,0,0,False,False,False
